time,value,
23.76221563,0.867117458,
23.79725155,0.862010229,
23.83247504,0.858889144,
23.86911721,0.85406565,
23.90467419,0.855862638,
23.93970427,0.851417457,
23.97329862,0.85236324,
24.00948339,0.85349818,
24.04505859,0.849052999,
24.07918987,0.848201795,
24.11322359,0.842905408,
24.14141801,0.849904204,
24.1732428,0.843756613,
24.20500351,0.844229505,
24.23890003,0.841297577,
24.26529124,0.840446372,
24.29513228,0.833542154,
24.32886979,0.83155601,
24.36549425,0.830988539,
24.40477546,0.839027697,
24.4422614,0.8433783,
24.48374505,0.848390951,
24.52146665,0.850187939,
24.56238169,0.845837336,
24.59659844,0.84735059,
24.63297701,0.849242155,
24.66077114,0.844891553,
24.6975164,0.839689745,
24.72677097,0.840824686,
24.76217272,0.839122275,
24.80125478,0.844229505,
24.84421427,0.85633553,
24.88259942,0.861631916,
24.91744411,0.862861434,
24.95441803,0.859456615,
24.98891772,0.861915651,
25.02078491,0.850849987,
25.06102683,0.851133722,
25.09602593,0.851984927,
25.12749603,0.849620469,
25.16080418,0.851984927,
25.19207021,0.846688541,
25.2243359,0.840919263,
25.26170083,0.836757817,
25.29743446,0.855389747,
25.33618511,0.859645771,
25.37557181,0.867968663,
25.41384794,0.870616856,
25.44755312,0.872319266,
25.48377873,0.865415049,
25.51674527,0.858889144,
25.54924341,0.857186735,
25.58025332,0.856430108,
25.61448886,0.844702397,
25.64137872,0.84224336,
25.67802637,0.838743962,
25.70800104,0.838649384,
25.74369209,0.833163841,
25.77753767,0.835622878,
25.81344094,0.841770468,
25.84768999,0.846877698,
25.88435978,0.847445167,
25.9157766,0.838365649,
25.95073087,0.834109624,
25.98559151,0.834582516,
26.01711274,0.835433721,
26.05101919,0.837609022,
26.08449552,0.837041552,
26.11441089,0.840919263,
26.14569892,0.839878902,
26.18233273,0.837419865,
26.2221484,0.83883854,
26.25921805,0.842337938,
26.29880671,0.848769264,
26.33378168,0.859551193,
26.36718437,0.861726495,
26.40211039,0.855389747,
26.43624329,0.849620469,
26.46932324,0.843756613,
26.50124043,0.84167589,
26.53548353,0.837609022,
26.57352361,0.841202999,
26.61007816,0.839311432,
26.63744519,0.837136131,
26.67350246,0.838933119,
26.70858417,0.842999987,
26.74428544,0.851417457,
26.78439567,0.85406565,
26.82206592,0.855957217,
26.85673536,0.857186735,
26.88808612,0.85576806,
26.92385878,0.861537338,
26.95504582,0.858510831,
26.98895174,0.847634324,
27.02358857,0.848390951,
27.05738628,0.850187939,
27.09004717,0.845459023,
27.1252621,0.842432517,
27.15851999,0.84224336,
27.19688672,0.845742758,
27.23903337,0.851890349,
27.27788863,0.857565048,
27.31631277,0.854443963,
27.35480585,0.850377096,
27.38824291,0.848201795,
27.42345772,0.850566252,
27.44754504,0.849147577,
27.48826578,0.845269866,
27.52458097,0.849525891,
27.56552837,0.850944565,
27.60405059,0.857186735,
27.63087895,0.853403602,
27.65442243,0.846310228,
27.67571587,0.831461431,
27.69679198,0.817274683,
27.71705961,0.803087935,
27.73891624,0.791927693,
27.76083959,0.780389138,
27.79025296,0.765540341,
27.81016776,0.758919859,
27.83221098,0.752299376,
27.85251093,0.73688311,
27.87284203,0.724777085,
27.89314462,0.711630698,
27.9131619,0.693282503,
27.93569692,0.687607804,
27.95603921,0.665192742,
27.9759564,0.665192742,
27.99576486,0.650816837,
28.01580696,0.639183704,
28.04075075,0.627266835,
28.06026135,0.618943943,
28.09875721,0.602865628,
28.11882442,0.591043338,
28.13828679,0.580355987,
28.15777999,0.571465625,
28.17706185,0.571465625,
28.19636933,0.563426468,
28.22356738,0.54413249,
28.25576112,0.541484297,
28.2799757,0.538646948,
28.30729037,0.528999959,
28.339502,0.527959597,
28.3695944,0.532499357,
28.40593169,0.519636705,
28.44076454,0.511975861,
28.47628084,0.516042729,
28.52246619,0.538363213,
28.55100318,0.549618033,
28.5758229,0.542524659,
28.59690032,0.528621646,
28.61897583,0.514529476,
28.65891381,0.5052608,
28.68820143,0.529756585,
28.71058003,0.528999959,
28.73151815,0.528243332,
28.75100039,0.526919236,
28.78809367,0.526257188,
28.82202311,0.547348153,
28.8484336,0.564466829,
28.87191718,0.574492132,
28.89459402,0.576383698,
28.91623886,0.576478276,
28.95400035,0.587071048,
28.98623707,0.601730688,
29.01041564,0.613647557,
29.03370282,0.615633701,
29.05541345,0.611377677,
29.09112531,0.616390328,
29.11972658,0.642588523,
29.14074682,0.651951777,
29.16161292,0.644290933,
29.18174618,0.645047559,
29.20387279,0.645331294,
29.23837371,0.652992138,
29.26725079,0.682689731,
29.28880345,0.683540936,
29.31023149,0.680230695,
29.33026432,0.66471985,
29.35071673,0.653275873,
29.38515783,0.631333703,
29.41672144,0.635778884,
29.43888838,0.630577076,
29.46011202,0.624334907,
29.48034058,0.621781292,
29.50257754,0.613080087,
29.53471907,0.587449362,
29.56919967,0.581396349,
29.59092464,0.584044542,
29.61212704,0.582247554,
29.63310293,0.579315626,
29.65644293,0.572222252,
29.69091253,0.558981287,
29.71981036,0.574397553,
